"PANTONE P Process Cyan U","process-cyan","#00a0e1"
"PANTONE P 26-4 U","26-4","#c59666"
"PANTONE P 26-5 U","26-5","#bb8853"
"PANTONE P 26-6 U","26-6","#b17a41"
"PANTONE P 26-7 U","26-7","#a4692f"
"PANTONE P 26-8 U","26-8","#9a5c23"
"PANTONE P 26-9 U","26-9","#d7bb9f"
"PANTONE P 26-10 U","26-10","#cead89"
"PANTONE P 26-11 U","26-11","#c39d75"
"PANTONE P 26-12 U","26-12","#b78d60"
"PANTONE P 26-13 U","26-13","#ad7e4e"
"PANTONE P 26-14 U","26-14","#a06f3e"
"PANTONE P 26-15 U","26-15","#92602e"
"PANTONE P 26-16 U","26-16","#835123"
"PANTONE P 27-1 U","27-1","#fee9d6"
"PANTONE P 27-2 U","27-2","#fddec1"
"PANTONE P 27-3 U","27-3","#fcd1ab"
"PANTONE P 27-4 U","27-4","#fac190"
"PANTONE P 27-5 U","27-5","#f8b276"
"PANTONE P 27-6 U","27-6","#f5a05b"
"PANTONE P 27-7 U","27-7","#f28d3e"
"PANTONE P 27-8 U","27-8","#ef7c28"
"PANTONE P 27-9 U","27-9","#f5d6ba"
"PANTONE P 27-10 U","27-10","#f2caa7"
"PANTONE P 27-11 U","27-11","#edbb90"
"PANTONE P 27-12 U","27-12","#eaae7a"
"PANTONE P 27-13 U","27-13","#e6a063"
"PANTONE P 27-14 U","27-14","#e1904e"
"PANTONE P 27-15 U","27-15","#dc803a"
"PANTONE P 27-16 U","27-16","#d67028"
"PANTONE P 28-1 U","28-1","#e3b48b"
"PANTONE P 28-2 U","28-2","#dea778"
"PANTONE P 28-3 U","28-3","#dc9f69"
"PANTONE P 28-4 U","28-4","#d7935a"
"PANTONE P 28-5 U","28-5","#d2884b"
"PANTONE P 28-6 U","28-6","#cc7c3e"
"PANTONE P 28-7 U","28-7","#c77332"
"PANTONE P 28-8 U","28-8","#c26728"
"PANTONE P 28-9 U","28-9","#f3e2d2"
"PANTONE P 28-10 U","28-10","#eaceb6"
"PANTONE P 28-11 U","28-11","#e1bc9c"
"PANTONE P 28-12 U","28-12","#d8a67c"
"PANTONE P 28-13 U","28-13","#ce9260"
"PANTONE P 28-14 U","28-14","#c5824b"
"PANTONE P 28-15 U","28-15","#ba7036"
"PANTONE P 28-16 U","28-16","#b06028"
"PANTONE P 29-1 U","29-1","#ead5c3"
"PANTONE P 29-2 U","29-2","#e0c1a6"
"PANTONE P 29-3 U","29-3","#d5ae8c"
"PANTONE P 29-4 U","29-4","#c89a70"
"PANTONE P 29-5 U","29-5","#bd875a"
"PANTONE P 29-6 U","29-6","#b17644"
"PANTONE P 29-7 U","29-7","#a36332"
"PANTONE P 29-8 U","29-8","#995627"
"PANTONE P 29-9 U","29-9","#d2b196"
"PANTONE P 29-10 U","29-10","#c7a180"
"PANTONE P 29-11 U","29-11","#bc916b"
"PANTONE P 29-12 U","29-12","#b2835a"
"PANTONE P 29-13 U","29-13","#a8744a"
"PANTONE P 29-14 U","29-14","#9b663a"
"PANTONE P 29-15 U","29-15","#8e582f"
"PANTONE P 29-16 U","29-16","#824c26"
"PANTONE P 30-1 U","30-1","#fde4d0"
"PANTONE P 30-2 U","30-2","#fcd5b8"
"PANTONE P 30-3 U","30-3","#fac8a1"
"PANTONE P 30-4 U","30-4","#f8b684"
"PANTONE P 30-5 U","30-5","#f6a76b"
"PANTONE P 30-6 U","30-6","#f39351"
"PANTONE P 30-7 U","30-7","#f0813a"
"PANTONE P 30-8 U","30-8","#ed6c25"
"PANTONE P 30-9 U","30-9","#f2ccaf"
"PANTONE P 30-10 U","30-10","#efbf9b"
"PANTONE P 30-11 U","30-11","#ebb084"
"PANTONE P 30-12 U","30-12","#e8a26f"
"PANTONE P 30-13 U","30-13","#e29259"
"PANTONE P 30-14 U","30-14","#de8246"
"PANTONE P 30-15 U","30-15","#d87233"
"PANTONE P 30-16 U","30-16","#d36325"
"PANTONE P 31-1 U","31-1","#f8e9dd"
"PANTONE P 31-2 U","31-2","#f2d7c1"
"PANTONE P 31-3 U","31-3","#eac3a4"
"PANTONE P 31-4 U","31-4","#e2ab81"
"PANTONE P 31-5 U","31-5","#db9867"
"PANTONE P 31-6 U","31-6","#d1824b"
"PANTONE P 31-7 U","31-7","#ca6d35"
"PANTONE P 31-8 U","31-8","#c05c25"
"PANTONE P 31-9 U","31-9","#d2986b"
"PANTONE P 31-10 U","31-10","#cd8e5f"
"PANTONE P 31-11 U","31-11","#c98352"
"PANTONE P 31-12 U","31-12","#c47946"
"PANTONE P 31-13 U","31-13","#bf723e"
"PANTONE P 31-14 U","31-14","#ba6935"
"PANTONE P 31-15 U","31-15","#b55f2e"
"PANTONE P 31-16 U","31-16","#ae5525"
"PANTONE P 32-1 U","32-1","#e4c8b2"
"PANTONE P 32-2 U","32-2","#dbb598"
"PANTONE P 32-3 U","32-3","#d0a17f"
"PANTONE P 32-4 U","32-4","#c59068"
"PANTONE P 32-5 U","32-5","#bc8054"
"PANTONE P 32-6 U","32-6","#b16f42"
"PANTONE P 32-7 U","32-7","#a66033"
"PANTONE P 32-8 U","32-8","#974d25"
"PANTONE P 32-9 U","32-9","#cda586"
"PANTONE P 32-10 U","32-10","#c29674"
"PANTONE P 32-11 U","32-11","#ba8964"
"PANTONE P 32-12 U","32-12","#b17c55"
"PANTONE P 32-13 U","32-13","#a76e45"
"PANTONE P 32-14 U","32-14","#9b6039"
"PANTONE P 32-15 U","32-15","#8d512d"
"PANTONE P 32-16 U","32-16","#814524"
"PANTONE P 33-1 U","33-1","#dfcfc5"
"PANTONE P 33-2 U","33-2","#d8c3b6"
"PANTONE P 33-3 U","33-3","#d0b6a6"
"PANTONE P 33-4 U","33-4","#c8aa98"
"PANTONE P 33-5 U","33-5","#bf9e8a"
"PANTONE P 33-6 U","33-6","#b7937c"
"PANTONE P 33-7 U","33-7","#b18870"
