"PANTONE P Process Cyan C","process-cyan","#00a0e1"
"PANTONE P 20-9 C","20-9","#f2cd9f"
"PANTONE P 20-10 C","20-10","#efc48e"
"PANTONE P 20-11 C","20-11","#ecba7e"
"PANTONE P 20-12 C","20-12","#eab26b"
"PANTONE P 20-13 C","20-13","#e6a759"
"PANTONE P 20-14 C","20-14","#e39d44"
"PANTONE P 20-15 C","20-15","#de9133"
"PANTONE P 20-16 C","20-16","#da861d"
"PANTONE P 21-1 C","21-1","#efd4b4"
"PANTONE P 21-2 C","21-2","#eac9a0"
"PANTONE P 21-3 C","21-3","#e5bc8a"
"PANTONE P 21-4 C","21-4","#e0af74"
"PANTONE P 21-5 C","21-5","#daa25c"
"PANTONE P 21-6 C","21-6","#d29546"
"PANTONE P 21-7 C","21-7","#cd8832"
"PANTONE P 21-8 C","21-8","#c57b1f"
"PANTONE P 21-9 C","21-9","#deba8c"
"PANTONE P 21-10 C","21-10","#d9af7b"
"PANTONE P 21-11 C","21-11","#d2a36b"
"PANTONE P 21-12 C","21-12","#cc9958"
"PANTONE P 21-13 C","21-13","#c58e47"
"PANTONE P 21-14 C","21-14","#be8338"
"PANTONE P 21-15 C","21-15","#b8782c"
"PANTONE P 21-16 C","21-16","#b37121"
"PANTONE P 22-1 C","22-1","#e7d3bb"
"PANTONE P 22-2 C","22-2","#dfc3a2"
"PANTONE P 22-3 C","22-3","#d6b48a"
"PANTONE P 22-4 C","22-4","#cba373"
"PANTONE P 22-5 C","22-5","#c0935c"
"PANTONE P 22-6 C","22-6","#b78546"
"PANTONE P 22-7 C","22-7","#ac7634"
"PANTONE P 22-8 C","22-8","#9d6522"
"PANTONE P 22-9 C","22-9","#dfcab2"
"PANTONE P 22-10 C","22-10","#d5b998"
"PANTONE P 22-11 C","22-11","#c9a981"
"PANTONE P 22-12 C","22-12","#be996b"
"PANTONE P 22-13 C","22-13","#b28956"
"PANTONE P 22-14 C","22-14","#a37842"
"PANTONE P 22-15 C","22-15","#946830"
"PANTONE P 22-16 C","22-16","#845823"
"PANTONE P 23-1 C","23-1","#e1d5c8"
"PANTONE P 23-2 C","23-2","#dbcbbb"
"PANTONE P 23-3 C","23-3","#d2c0af"
"PANTONE P 23-4 C","23-4","#cab49f"
"PANTONE P 23-5 C","23-5","#c6ae97"
"PANTONE P 23-6 C","23-6","#c0a78e"
"PANTONE P 23-7 C","23-7","#ba9c7f"
"PANTONE P 23-8 C","23-8","#b49577"
"PANTONE P 23-9 C","23-9","#a98d71"
"PANTONE P 23-10 C","23-10","#9f846a"
"PANTONE P 23-11 C","23-11","#957d65"
"PANTONE P 23-12 C","23-12","#8d7660"
"PANTONE P 23-13 C","23-13","#846f5b"
"PANTONE P 23-14 C","23-14","#7a6654"
"PANTONE P 23-15 C","23-15","#6f5e4e"
"PANTONE P 23-16 C","23-16","#645647"
"PANTONE P 24-1 C","24-1","#fdd7b2"
"PANTONE P 24-2 C","24-2","#fccfa0"
"PANTONE P 24-3 C","24-3","#fac48b"
"PANTONE P 24-4 C","24-4","#f9b978"
"PANTONE P 24-5 C","24-5","#f8ae61"
"PANTONE P 24-6 C","24-6","#f6a14c"
"PANTONE P 24-7 C","24-7","#f39132"
"PANTONE P 24-8 C","24-8","#f1861f"
"PANTONE P 24-9 C","24-9","#fbecdd"
"PANTONE P 24-10 C","24-10","#f8e0c7"
"PANTONE P 24-11 C","24-11","#f3d2ad"
"PANTONE P 24-12 C","24-12","#f0c294"
"PANTONE P 24-13 C","24-13","#ebb277"
"PANTONE P 24-14 C","24-14","#e4a059"
"PANTONE P 24-15 C","24-15","#de8c3c"
"PANTONE P 24-16 C","24-16","#d77921"
"PANTONE P 25-1 C","25-1","#eeceae"
"PANTONE P 25-2 C","25-2","#e9c29a"
"PANTONE P 25-3 C","25-3","#e4b583"
"PANTONE P 25-4 C","25-4","#dea76e"
"PANTONE P 25-5 C","25-5","#d89a58"
"PANTONE P 25-6 C","25-6","#d18b45"
"PANTONE P 25-7 C","25-7","#c97c32"
"PANTONE P 25-8 C","25-8","#c37022"
"PANTONE P 25-9 C","25-9","#e1bb94"
"PANTONE P 25-10 C","25-10","#dbae80"
"PANTONE P 25-11 C","25-11","#d4a16e"
"PANTONE P 25-12 C","25-12","#cd965b"
"PANTONE P 25-13 C","25-13","#c6894a"
"PANTONE P 25-14 C","25-14","#bf7d3b"
"PANTONE P 25-15 C","25-15","#b8712f"
"PANTONE P 25-16 C","25-16","#b16723"
"PANTONE P 26-1 C","26-1","#e1c6a9"
"PANTONE P 26-2 C","26-2","#d8b793"
"PANTONE P 26-3 C","26-3","#cfa57b"
"PANTONE P 26-4 C","26-4","#c59666"
"PANTONE P 26-5 C","26-5","#bb8853"
"PANTONE P 26-6 C","26-6","#b17a41"
"PANTONE P 26-7 C","26-7","#a4692f"
"PANTONE P 26-8 C","26-8","#9a5c23"
"PANTONE P 26-9 C","26-9","#d7bb9f"
"PANTONE P 26-10 C","26-10","#cead89"
"PANTONE P 26-11 C","26-11","#c39d75"
"PANTONE P 26-12 C","26-12","#b78d60"
"PANTONE P 26-13 C","26-13","#ad7e4e"
"PANTONE P 26-14 C","26-14","#a06f3e"
"PANTONE P 26-15 C","26-15","#92602e"
"PANTONE P 26-16 C","26-16","#835123"
"PANTONE P 27-1 C","27-1","#fee9d6"
"PANTONE P 27-2 C","27-2","#fddec1"
"PANTONE P 27-3 C","27-3","#fcd1ab"
"PANTONE P 27-4 C","27-4","#fac190"
"PANTONE P 27-5 C","27-5","#f8b276"
"PANTONE P 27-6 C","27-6","#f5a05b"
"PANTONE P 27-7 C","27-7","#f28d3e"
"PANTONE P 27-8 C","27-8","#ef7c28"
"PANTONE P 27-9 C","27-9","#f5d6ba"
"PANTONE P 27-10 C","27-10","#f2caa7"
"PANTONE P 27-11 C","27-11","#edbb90"
"PANTONE P 27-12 C","27-12","#eaae7a"
"PANTONE P 27-13 C","27-13","#e6a063"
"PANTONE P 27-14 C","27-14","#e1904e"
"PANTONE P 27-15 C","27-15","#dc803a"
"PANTONE P 27-16 C","27-16","#d67028"
"PANTONE P 28-1 C","28-1","#e3b48b"
"PANTONE P 28-2 C","28-2","#dea778"
"PANTONE P 28-3 C","28-3","#dc9f69"
"PANTONE P 28-4 C","28-4","#d7935a"
"PANTONE P 28-5 C","28-5","#d2884b"
"PANTONE P 28-6 C","28-6","#cc7c3e"
"PANTONE P 28-7 C","28-7","#c77332"
"PANTONE P 28-8 C","28-8","#c26728"
"PANTONE P 28-9 C","28-9","#f3e2d2"
"PANTONE P 28-10 C","28-10","#eaceb6"
"PANTONE P 28-11 C","28-11","#e1bc9c"
